CPU,translated,scaled,one_sec,two_sec,two_half_sec,five_sec,ten_sec
21.60057142857143,17.477415033054854,1.8549366584733518,1.9187076416927429,1.868036546609717,1.8985180455788715,2.3822071559620683,2.6891902984354425
22.802285714285716,18.67912931876914,1.9824786249121338,1.872443607742013,1.8985180455788715,2.02938956691898,2.4202828409240804,2.763022290317766
20.893714285714285,16.770557890197708,1.7799155398405537,1.868036546609717,2.02938956691898,2.123813595261692,2.437361121715216,2.822252577583204
21.599428571428568,17.47627217591199,1.8548153632128292,1.9094133923552516,2.123813595261692,2.2138569153114482,2.4426308565112875,2.878724031201503
23.16,19.036843604483423,2.0204440414554896,2.0847305295320986,2.2138569153114482,2.2906022797656926,2.4344940771941888,2.9071452466703325
29.409714285714283,25.286557890197706,2.6837471736195218,2.3123410859014517,2.345060482427235,2.3822071559620683,2.4375016220586536,2.912721088717141
29.472,25.348843604483424,2.690357765317966,2.5596772840131794,2.4980820345294,2.4768174591691534,2.469240295863426,2.9141101993622565
30.92114285714286,26.797986461626284,2.8441601556597402,2.780707572499219,2.625722553367356,2.5410918177197104,2.4796893028373925,2.8975794868769977
31.490285714285715,27.367129318769138,2.9045651953996483,2.9114335395267013,2.722023409267965,2.61368703114207,2.531555314792455,2.8743388496749485
34.336571428571425,30.213415033054847,3.2066510417294496,2.93910402083326,2.7827013633440476,2.6610770894279776,2.6107146588631753,2.8383170701787366
30.51485714285714,26.39170074734056,2.8010396905442025,2.884369534522751,2.738322459900596,2.706993410298545,2.6891902984354425,2.8056711479084644
28.858285714285707,24.73512931876913,2.6252222104177023,2.784695154188876,2.7119786455059947,2.7331507332300933,2.8084265719099872,2.781929817886494
27.733714285714285,23.610557890197708,2.5058676740641497,2.5652113802744907,2.7246236764154035,2.728802298140383,2.9126070711722507,2.756245729881153
26.064571428571423,21.941415033054845,2.3287159460719082,2.4848532701787294,2.6924122037930553,2.7857140343772606,3.029666094720427,2.748654840454561
27.48628571428572,23.363129318769143,2.479607250161158,2.564877818308056,2.7182405133304384,2.89881580005091,3.114966986682456,2.7248466456443037
31.874285714285715,27.751129318769138,2.945320402935008,2.600129253397234,2.872558408529431,2.996173440908816,3.166271849501708,2.7131820677693157
29.06228571428571,24.939129318769133,2.6468734144208628,2.871269646386386,3.066934063515782,3.1400356846508206,3.179526389095239,2.698572149905532
36.28342857142859,32.16027217591201,3.413277518028516,3.2602635468801315,3.283658370253294,3.2841223246247906,3.1683975489423544,2.6904561128264968
42.14685714285714,38.023700747340555,4.035582852136141,3.5689903087235084,3.5008299532639806,3.4456451582987837,3.1385316234203486,2.678995910585657
43.50971428571429,39.38655789019771,4.180227450308513,3.967187487109354,3.7060160483443467,3.5688568839369337,3.0847887258646063,2.6680860894052127
44.0697142857143,39.946557890197724,4.239662127964247,4.130390260141575,3.782955148284147,3.625550288704872,3.0174031438816624,2.66470078533607
42.434285714285714,38.31112931876913,4.066088610157401,4.151768549808561,3.832913633711606,3.625902044960386,2.980835655215821,2.69073529681634
42.952571428571424,38.82941503305484,4.121096010804084,3.9969199878447856,3.7748586896443097,3.607992799744326,2.9475764947807153,2.7130172361742138
